,index,Data,EstacaoCodigo,Vazao,NivelConsistencia
249,15067,1982-01-05,87317030,2.6784,2
250,15068,1982-01-06,87317030,2.3129,2
251,15069,1982-01-07,87317030,2.3129,2
252,15070,1982-01-08,87317030,1.9749,2
253,15071,1982-01-09,87317030,2.3129,2
254,15072,1982-01-10,87317030,4.175,2
255,15073,1982-01-11,87317030,3.2782,2
256,15074,1982-01-12,87317030,2.3129,2
257,15075,1982-01-13,87317030,2.6784,2
258,15076,1982-01-14,87317030,2.3129,2
259,15077,1982-01-15,87317030,1.9749,2
260,15078,1982-01-16,87317030,1.6642,2
261,15079,1982-01-17,87317030,1.6642,2
262,15080,1982-01-18,87317030,1.6642,2
263,15081,1982-01-19,87317030,9.5978,2
264,15082,1982-01-20,87317030,6.9057,2
265,15083,1982-01-21,87317030,3.9404,2
266,15084,1982-01-22,87317030,2.8714,2
267,15085,1982-01-23,87317030,2.8714,2
268,15086,1982-01-24,87317030,2.6784,2
269,15087,1982-01-25,87317030,2.3129,2
270,15088,1982-01-26,87317030,1.9749,2
271,15089,1982-01-27,87317030,1.6642,2
272,15090,1982-01-28,87317030,1.6642,2
273,15091,1982-01-29,87317030,1.6642,2
274,15092,1982-01-30,87317030,1.519,2
275,15093,1982-01-31,87317030,1.3807,2
276,15035,1982-02-01,87317030,1.3807,2
277,15036,1982-02-02,87317030,1.3807,2
278,15037,1982-02-03,87317030,1.9749,2
279,15038,1982-02-04,87317030,4.9207,2
280,15039,1982-02-05,87317030,3.0714,2
281,15040,1982-02-06,87317030,2.6784,2
282,15041,1982-02-07,87317030,2.3129,2
283,15042,1982-02-08,87317030,1.9749,2
284,15043,1982-02-09,87317030,1.6642,2
285,15044,1982-02-10,87317030,1.3807,2
286,15045,1982-02-11,87317030,6.9057,2
287,15046,1982-02-12,87317030,6.3034,2
288,15047,1982-02-13,87317030,9.5978,2
289,15048,1982-02-14,87317030,13.6037,2
290,15049,1982-02-15,87317030,6.0128,2
291,15050,1982-02-16,87317030,11.9155,2
292,15051,1982-02-17,87317030,18.3274,2
293,15052,1982-02-18,87317030,15.4067,2
294,15053,1982-02-19,87317030,18.8395,2
295,15054,1982-02-20,87317030,12.3268,2
296,15055,1982-02-21,87317030,8.5351,2
297,15056,1982-02-22,87317030,6.6011,2
298,15057,1982-02-23,87317030,5.4527,2
299,15058,1982-02-24,87317030,4.9207,2
300,15059,1982-02-25,87317030,4.175,2
301,15060,1982-02-26,87317030,3.492,2
302,15061,1982-02-27,87317030,3.0714,2
303,15062,1982-02-28,87317030,3.0714,2
304,15004,1982-03-01,87317030,2.6784,2
305,15005,1982-03-02,87317030,5.4527,2
306,15006,1982-03-03,87317030,7.2175,2
307,15007,1982-03-04,87317030,5.1832,2
308,15008,1982-03-05,87317030,3.7127,2
309,15009,1982-03-06,87317030,3.492,2
310,15010,1982-03-07,87317030,3.0714,2
311,15011,1982-03-08,87317030,2.6784,2
312,15012,1982-03-09,87317030,2.6784,2
313,15013,1982-03-10,87317030,3.2782,2
314,15014,1982-03-11,87317030,2.6784,2
315,15015,1982-03-12,87317030,2.6784,2
316,15016,1982-03-13,87317030,2.3129,2
317,15017,1982-03-14,87317030,2.3129,2
318,15018,1982-03-15,87317030,1.9749,2
319,15019,1982-03-16,87317030,3.0714,2
320,15020,1982-03-17,87317030,2.6784,2
321,15021,1982-03-18,87317030,2.3129,2
322,15022,1982-03-19,87317030,1.9749,2
323,15023,1982-03-20,87317030,1.6642,2
324,15024,1982-03-21,87317030,1.6642,2
325,15025,1982-03-22,87317030,1.6642,2
326,15026,1982-03-23,87317030,1.6642,2
327,15027,1982-03-24,87317030,1.6642,2
328,15028,1982-03-25,87317030,1.6642,2
329,15029,1982-03-26,87317030,1.3807,2
330,15030,1982-03-27,87317030,1.3807,2
331,15031,1982-03-28,87317030,1.3807,2
332,15032,1982-03-29,87317030,1.3807,2
333,15033,1982-03-30,87317030,1.3807,2
334,15034,1982-03-31,87317030,1.3807,2
335,14974,1982-04-01,87317030,1.3807,2
336,14975,1982-04-02,87317030,1.3807,2
337,14976,1982-04-03,87317030,1.3807,2
338,14977,1982-04-04,87317030,1.3807,2
339,14978,1982-04-05,87317030,1.2491,2
340,14979,1982-04-06,87317030,1.1242,2
341,14980,1982-04-07,87317030,1.1242,2
342,14981,1982-04-08,87317030,1.1242,2
343,14982,1982-04-09,87317030,1.1242,2
344,14983,1982-04-10,87317030,1.1242,2
345,14984,1982-04-11,87317030,1.1242,2
346,14985,1982-04-12,87317030,0.8947,2
347,14986,1982-04-13,87317030,0.8947,2
348,14987,1982-04-14,87317030,0.8947,2
349,14988,1982-04-15,87317030,1.519,2
350,14989,1982-04-16,87317030,2.3129,2
351,14990,1982-04-17,87317030,1.8161,2
352,14991,1982-04-18,87317030,1.3807,2
353,14992,1982-04-19,87317030,1.1242,2
354,14993,1982-04-20,87317030,1.1242,2
355,14994,1982-04-21,87317030,1.1242,2
356,14995,1982-04-22,87317030,0.8947,2
357,14996,1982-04-23,87317030,0.8947,2
358,14997,1982-04-24,87317030,0.8947,2
359,14998,1982-04-25,87317030,0.8947,2
360,14999,1982-04-26,87317030,1.1242,2
361,15000,1982-04-27,87317030,1.1242,2
362,15001,1982-04-28,87317030,8.8823,2
363,15002,1982-04-29,87317030,3.9404,2
364,15003,1982-04-30,87317030,2.8714,2
365,14943,1982-05-01,87317030,2.3129,2
366,14944,1982-05-02,87317030,1.9749,2
367,14945,1982-05-03,87317030,1.9749,2
368,14946,1982-05-04,87317030,1.9749,2
369,14947,1982-05-05,87317030,1.9749,2
370,14948,1982-05-06,87317030,1.6642,2
371,14949,1982-05-07,87317030,1.6642,2
372,14950,1982-05-08,87317030,1.3807,2
373,14951,1982-05-09,87317030,1.3807,2
374,14952,1982-05-10,87317030,1.3807,2
375,14953,1982-05-11,87317030,1.6642,2
376,14954,1982-05-12,87317030,1.6642,2
377,14955,1982-05-13,87317030,1.3807,2
378,14956,1982-05-14,87317030,1.1242,2
379,14957,1982-05-15,87317030,1.1242,2
380,14958,1982-05-16,87317030,1.1242,2
381,14959,1982-05-17,87317030,1.1242,2
382,14960,1982-05-18,87317030,1.1242,2
383,14961,1982-05-19,87317030,1.1242,2
384,14962,1982-05-20,87317030,0.8947,2
385,14963,1982-05-21,87317030,0.8947,2
386,14964,1982-05-22,87317030,0.8947,2
387,14965,1982-05-23,87317030,0.8947,2
388,14966,1982-05-24,87317030,0.8947,2
389,14967,1982-05-25,87317030,0.8947,2
390,14968,1982-05-26,87317030,1.519,2
391,14969,1982-05-27,87317030,3.9404,2
392,14970,1982-05-28,87317030,2.4922,2
393,14971,1982-05-29,87317030,1.8161,2
394,14972,1982-05-30,87317030,1.3807,2
395,14973,1982-05-31,87317030,1.3807,2
396,14913,1982-06-01,87317030,1.1242,2
397,14914,1982-06-02,87317030,1.1242,2
398,14915,1982-06-03,87317030,1.1242,2
399,14916,1982-06-04,87317030,1.1242,2
400,14917,1982-06-05,87317030,1.1242,2
401,14918,1982-06-06,87317030,1.1242,2
402,14919,1982-06-07,87317030,0.8947,2
403,14920,1982-06-08,87317030,0.8947,2
404,14921,1982-06-09,87317030,0.8947,2
405,14922,1982-06-10,87317030,0.8947,2
406,14923,1982-06-11,87317030,0.8947,2
407,14924,1982-06-12,87317030,1.0061,2
408,14925,1982-06-13,87317030,1.1242,2
409,14926,1982-06-14,87317030,1.1242,2
410,14927,1982-06-15,87317030,91.2239,2
411,14928,1982-06-16,87317030,16.8346,2
412,14929,1982-06-17,87317030,7.8621,2
413,14930,1982-06-18,87317030,5.7293,2
414,14931,1982-06-19,87317030,5.1832,2
415,14932,1982-06-20,87317030,14.9451,2
416,14933,1982-06-21,87317030,14.9451,2
417,14934,1982-06-22,87317030,9.9663,2
418,14935,1982-06-23,87317030,7.5363,2
419,14936,1982-06-24,87317030,6.0128,2
420,14937,1982-06-25,87317030,6.3034,2
421,14938,1982-06-26,87317030,5.1832,2
422,14939,1982-06-27,87317030,8.8823,2
423,14940,1982-06-28,87317030,464.581,2
424,14941,1982-06-29,87317030,176.5084,2
425,14942,1982-06-30,87317030,61.0711,2
426,14882,1982-07-01,87317030,42.9154,2
427,14883,1982-07-02,87317030,30.608,2
428,14884,1982-07-03,87317030,22.0642,2
429,14885,1982-07-04,87317030,16.8346,2
430,14886,1982-07-05,87317030,25.5506,2
431,14887,1982-07-06,87317030,33.3125,2
432,14888,1982-07-07,87317030,24.9513,2
433,14889,1982-07-08,87317030,22.6271,2
434,14890,1982-07-09,87317030,17.3249,2
435,14891,1982-07-10,87317030,15.4067,2
436,14892,1982-07-11,87317030,12.7453,2
437,14893,1982-07-12,87317030,12.3268,2
438,14894,1982-07-13,87317030,26.1572,2
439,14895,1982-07-14,87317030,24.9513,2
440,14896,1982-07-15,87317030,17.8226,2
441,14897,1982-07-16,87317030,14.0436,2
442,14898,1982-07-17,87317030,11.9155,2
443,14899,1982-07-18,87317030,10.7246,2
444,14900,1982-07-19,87317030,9.5978,2
445,14901,1982-07-20,87317030,8.5351,2
446,14902,1982-07-21,87317030,7.8621,2
447,14903,1982-07-22,87317030,7.2175,2
448,14904,1982-07-23,87317030,12.7453,2
449,14905,1982-07-24,87317030,14.0436,2
450,14906,1982-07-25,87317030,10.3419,2
451,14907,1982-07-26,87317030,8.8823,2
452,14908,1982-07-27,87317030,7.5363,2
453,14909,1982-07-28,87317030,6.6011,2
454,14910,1982-07-29,87317030,13.1709,2
455,14911,1982-07-30,87317030,13.6037,2
456,14912,1982-07-31,87317030,10.3419,2
457,14851,1982-08-01,87317030,8.1951,2
458,14852,1982-08-02,87317030,7.8621,2
459,14853,1982-08-03,87317030,8.8823,2
460,14854,1982-08-04,87317030,7.5363,2
461,14855,1982-08-05,87317030,6.6011,2
462,14856,1982-08-06,87317030,6.0128,2
463,14857,1982-08-07,87317030,6.0128,2
464,14858,1982-08-08,87317030,7.2175,2
465,14859,1982-08-09,87317030,9.2365,2
466,14860,1982-08-10,87317030,9.5978,2
467,14861,1982-08-11,87317030,8.1951,2
468,14862,1982-08-12,87317030,7.2175,2
469,14863,1982-08-13,87317030,6.6011,2
470,14864,1982-08-14,87317030,6.0128,2
471,14865,1982-08-15,87317030,6.9057,2
472,14866,1982-08-16,87317030,19.3588,2
473,14867,1982-08-17,87317030,39.8279,2
474,14868,1982-08-18,87317030,46.9412,2
475,14869,1982-08-19,87317030,28.6566,2
476,14870,1982-08-20,87317030,19.3588,2
477,14871,1982-08-21,87317030,14.0436,2
478,14872,1982-08-22,87317030,11.1144,2
479,14873,1982-08-23,87317030,9.5978,2
480,14874,1982-08-24,87317030,8.1951,2
481,14875,1982-08-25,87317030,7.5363,2
482,14876,1982-08-26,87317030,6.3034,2
483,14877,1982-08-27,87317030,5.7293,2
